ECNumber	EnzymeType	Organism	Smiles	Substrate	UniprotID	Value	Unit
1.14.14.82	wildtype	Camellia sinensis	C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	dihydrokaempferol		1.1e-06	s^(-1)
1.14.14.82	wildtype	Fragaria x ananassa	C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	dihydrokaempferol		900.0	s^(-1)
1.14.14.82	wildtype	Arabidopsis thaliana	C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	dihydrokaempferol		1400.0	s^(-1)
1.14.14.82	wildtype	Tagetes erecta	C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	dihydrokaempferol		6300.0	s^(-1)
1.14.14.82	wildtype	Arabidopsis thaliana	C1=CC(=CC=C1C2C(C(C3=C(O2)C=C(C=C3)O)O)O)O	5-deoxyleucopelargonidin		1700.0	s^(-1)
1.14.14.82	wildtype	Tagetes erecta	C1=CC(=CC=C1C2C(C(C3=C(O2)C=C(C=C3)O)O)O)O	5-deoxyleucopelargonidin		5000.0	s^(-1)
3.2.1.182	F198A	Secale cereale	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		2.72	s^(-1)
3.2.1.182	wildtype	Secale cereale	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		12.5	s^(-1)
3.2.1.182	S464F	Triticum aestivum	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		13.5	s^(-1)
3.2.1.182	G464F	Secale cereale	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		15.0	s^(-1)
3.2.1.182	F471Y	Triticum aestivum	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		18.6	s^(-1)
3.2.1.182	Y378A	Triticum aestivum	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		18.9	s^(-1)
3.2.1.182	S465L	Secale cereale	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		37.2	s^(-1)
3.2.1.182	Y378F	Triticum aestivum	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		37.5	s^(-1)
3.2.1.182	G464S	Secale cereale	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		42.9	s^(-1)
3.2.1.182	Y378F	Secale cereale	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		47.0	s^(-1)
3.2.1.182	F471Y	Secale cereale	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		50.3	s^(-1)
3.2.1.182	Y378A	Secale cereale	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		50.5	s^(-1)
3.2.1.182	wildtype	Triticum aestivum	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		135.0	s^(-1)
3.2.1.182	G464S/S465L	Secale cereale	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	4-nitrophenyl alpha-D-galactopyranoside		54.6	s^(-1)
3.2.1.182	wildtype	Consolida orientalis	C1=CC(=CC=C1C(C#N)OC2C(C(C(C(O2)CO)O)O)O)O	Dhurrin		10.8	s^(-1)
3.2.1.182	F198A	Triticum aestivum	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		3.1	s^(-1)
3.2.1.182	F198A	Secale cereale	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		4.94	s^(-1)
3.2.1.182	G464F	Secale cereale	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		23.6	s^(-1)
3.2.1.182	S464F	Triticum aestivum	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		51.6	s^(-1)
3.2.1.182	Y378A	Triticum aestivum	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		104.0	s^(-1)
3.2.1.182	wildtype	Secale cereale	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		122.0	s^(-1)
3.2.1.182	Y378F	Secale cereale	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		182.0	s^(-1)
3.2.1.182	G464S	Secale cereale	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		244.0	s^(-1)
3.2.1.182	F471Y	Triticum aestivum	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		274.0	s^(-1)
3.2.1.182	S465L	Secale cereale	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		296.0	s^(-1)
3.2.1.182	wildtype	Zea mays	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		297.5	s^(-1)
3.2.1.182	F471Y	Secale cereale	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		309.0	s^(-1)
3.2.1.182	G464S/S465L	Secale cereale	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		488.0	s^(-1)
3.2.1.182	Y378A	Secale cereale	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		582.0	s^(-1)
3.2.1.182	Y378F	Triticum aestivum	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		655.0	s^(-1)
3.2.1.182	wildtype	Triticum aestivum	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		4138.0	s^(-1)
3.2.1.182	F198A	Triticum aestivum	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		0.24	s^(-1)
3.2.1.182	Y378A	Triticum aestivum	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		4.36	s^(-1)
3.2.1.182	F198A	Secale cereale	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		5.28	s^(-1)
3.2.1.182	Y378F	Triticum aestivum	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		11.5	s^(-1)
3.2.1.182	F471Y	Triticum aestivum	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		19.8	s^(-1)
3.2.1.182	Y378F	Secale cereale	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		23.1	s^(-1)
3.2.1.182	S464F	Triticum aestivum	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		29.1	s^(-1)
3.2.1.182	G464F	Secale cereale	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		34.1	s^(-1)
3.2.1.182	wildtype	Triticum aestivum	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		150.0	s^(-1)
3.2.1.182	G464S/S465L	Secale cereale	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		53.9	s^(-1)
3.2.1.182	S465L	Secale cereale	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		56.1	s^(-1)
3.2.1.182	G464S	Secale cereale	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		85.2	s^(-1)
3.2.1.182	F471Y	Secale cereale	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		120.0	s^(-1)
3.2.1.182	Y378A	Secale cereale	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		137.0	s^(-1)
3.2.1.182	wildtype	Secale cereale	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		150.0	s^(-1)
3.2.1.182	wildtype	Consolida orientalis	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	2,4-dihydroxy-1,4-benzoxazin-3-one glucoside		7.0	s^(-1)
3.2.1.182	wildtype	Consolida orientalis	COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	DIMBOA-beta-D-glucoside		0.15	s^(-1)
1.14.13.113	R204Q	Klebsiella pneumoniae	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH		1.0	s^(-1)
1.14.13.113	wildtype	Xanthomonas campestris	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH		7.9	s^(-1)
1.14.13.113	Y216F	Klebsiella pneumoniae	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH		84.0	s^(-1)
1.14.13.113	wildtype	Klebsiella pneumoniae	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH		125.0	s^(-1)
1.14.13.113	wildtype	Xanthomonas campestris	C12=C(NC(=O)N1)NC(=O)NC2=O	Urate		37.0	s^(-1)
1.14.13.113	Y216F	Klebsiella pneumoniae	C12=C(NC(=O)N1)NC(=O)NC2=O	Urate		93.0	s^(-1)
1.14.13.113	wildtype	Klebsiella pneumoniae	C12=C(NC(=O)N1)NC(=O)NC2=O	Urate		1000.0	s^(-1)
1.8.2.2	K208N	Allochromatium vinosum	[O-]S(=O)(=S)[O-]	thiosulfate		2100.0	s^(-1)
1.8.2.2	M209G	Allochromatium vinosum	[O-]S(=O)(=S)[O-]	thiosulfate		1480.0	s^(-1)
1.8.2.2	K208G	Allochromatium vinosum	[O-]S(=O)(=S)[O-]	thiosulfate		970.0	s^(-1)
1.8.2.2	wildtype	Allochromatium vinosum	[O-]S(=O)(=S)[O-]	thiosulfate		14100.0	s^(-1)
1.8.2.2	K208N	Allochromatium vinosum	[O-]S(=O)(=O)SSS(=O)(=O)[O-]	tetrathionate		11.3	s^(-1)
1.8.2.2	wildtype	Allochromatium vinosum	[O-]S(=O)(=O)SSS(=O)(=O)[O-]	tetrathionate		18.7	s^(-1)
1.8.2.2	K208G	Allochromatium vinosum	[O-]S(=O)(=O)SSS(=O)(=O)[O-]	tetrathionate		35.9	s^(-1)
1.8.2.2	M209G	Allochromatium vinosum	[O-]S(=O)(=O)SSS(=O)(=O)[O-]	tetrathionate		46.7	s^(-1)
1.4.1.21	wildtype	Bradyrhizobium japonicum	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		1300.0	s^(-1)
1.4.1.21	wildtype	Pseudomonas aeruginosa	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		1542.0	s^(-1)
1.4.1.21	wildtype	Rhodopseudomonas palustris	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+		0.23	s^(-1)
1.4.1.21	wildtype	Bradyrhizobium japonicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+		0.33	s^(-1)
1.4.1.21	wildtype	Pseudomonas aeruginosa	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+		133.8	s^(-1)
1.4.1.21	wildtype	Rhodopseudomonas palustris	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH		1.1	s^(-1)
1.4.1.21	wildtype	Bradyrhizobium japonicum	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH		100.0	s^(-1)
1.4.1.21	wildtype	Pseudomonas aeruginosa	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH		1629.0	s^(-1)
1.4.1.21	wildtype	Rhodopseudomonas palustris	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+		23.0	s^(-1)
1.4.1.21	wildtype	Bradyrhizobium japonicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+		53.0	s^(-1)
1.4.1.21	wildtype	Pseudomonas aeruginosa	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+		98.1	s^(-1)
1.4.1.21	wildtype	Rhodopseudomonas palustris	N	NH3		0.91	s^(-1)
1.4.1.21	wildtype	Bradyrhizobium japonicum	N	NH3		5.7	s^(-1)
1.4.1.21	wildtype	Pseudomonas aeruginosa	N	NH3		6.14	s^(-1)
1.4.1.21	wildtype	Rhodopseudomonas palustris	C(C(=O)C(=O)O)C(=O)O	oxaloacetate		1.5	s^(-1)
1.4.1.21	wildtype	Bradyrhizobium japonicum	C(C(=O)C(=O)O)C(=O)O	oxaloacetate		2.3	s^(-1)
1.4.1.21	wildtype	Pseudomonas aeruginosa	C(C(=O)C(=O)O)C(=O)O	oxaloacetate		32.3	s^(-1)
1.4.1.21	wildtype	Rhodopseudomonas palustris	C(C(C(=O)O)N)C(=O)O	L-aspartate		0.21	s^(-1)
1.4.1.21	wildtype	Bradyrhizobium japonicum	C(C(C(=O)O)N)C(=O)O	L-aspartate		0.28	s^(-1)
1.4.1.21	wildtype	Pseudomonas aeruginosa	C(C(C(=O)O)N)C(=O)O	L-aspartate		12.3	s^(-1)
2.8.3.19	wildtype	Escherichia coli	C(=O)(C(=O)[O-])[O-]	oxalate		0.68	s^(-1)
3.4.11.18	wildtype	Plasmodium falciparum	CSCCC(C(=O)NCC(=O)NC(CCSC)C(=O)NC(CCSC)C(=O)O)N	Met-Gly-Met-Met		8.6	s^(-1)
3.4.11.18	wildtype	Mycobacterium tuberculosis	CC(C(=O)NC(CO)C(=O)O)NC(=O)C(CCSC)N	Met-Ala-Ser		1156.0	s^(-1)
3.4.11.18	wildtype	Synechocystis sp.	CSCCC(C(=O)NCC(=O)NCC(=O)O)N	Met-Gly-Gly		11.52	s^(-1)
3.4.11.18	wildtype	Synechocystis sp.	CC(C(=O)NC(C)C(=O)O)NC(=O)C(CCSC)N	Met-Ala-Ala		14.72	s^(-1)
3.4.11.18	wildtype	Streptococcus pneumoniae	CSCCC(C(=O)NC1=CC=C(C=C1)[N+](=O)[O-])N	L-methionine 4-nitroanilide		10.0	s^(-1)
3.4.11.18	F309M	Homo sapiens	CSCCC(C(=O)NC1=CC=C(C=C1)[N+](=O)[O-])N	L-methionine 4-nitroanilide		10.0	s^(-1)
3.4.11.18	wildtype	Homo sapiens	CSCCC(C(=O)NC1=CC=C(C=C1)[N+](=O)[O-])N	L-methionine 4-nitroanilide		128.0	s^(-1)
2.7.8.37	wildtype	Escherichia coli	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		350.0	s^(-1)
2.7.8.37	wildtype	Escherichia coli	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N	GTP		340.0	s^(-1)
2.4.1.329	wildtype	Ilumatobacter coccineus	[O-]P(=O)([O-])[O-]	phosphate		14.1	s^(-1)
2.4.1.329	wildtype	Thermoanaerobacterium thermosaccharolyticum	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O	sucrose		0.9	s^(-1)
2.4.1.329	wildtype	Ilumatobacter coccineus	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O	beta-D-glucose 1-phosphate		2.4	s^(-1)
2.4.1.329	wildtype	Thermoanaerobacterium thermosaccharolyticum	C(C1C(C(C(O1)(CO)O)O)O)O	beta-D-fructofuranose		0.4	s^(-1)
2.4.1.329	wildtype	Thermoanaerobacterium thermosaccharolyticum	C(C1C(C(C(C(O1)OC2(C(C(C(O2)COP(=O)(O)O)O)O)CO)O)O)O)O	sucrose 6F-phosphate		6.5	s^(-1)
2.4.1.329	wildtype	Ilumatobacter coccineus	C(C1C(C(C(C(O1)OC2(C(C(C(O2)COP(=O)(O)O)O)O)CO)O)O)O)O	sucrose 6F-phosphate		11.2	s^(-1)
2.4.1.329	wildtype	[Ruminococcus] gnavus	C(C1C(C(C(C(O1)OC2(C(C(C(O2)COP(=O)(O)O)O)O)CO)O)O)O)O	sucrose 6F-phosphate		435.3	s^(-1)
2.4.1.329	wildtype	Thermoanaerobacterium thermosaccharolyticum	C(C1C(C(C(C(O1)OP(=O)([O-])[O-])O)O)O)O	beta-D-glucopyranose 1-phosphate		0.9	s^(-1)
2.4.1.329	wildtype	Thermoanaerobacterium thermosaccharolyticum	C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O	beta-D-fructofuranose 6-phosphate		1.6	s^(-1)
6.2.1.2	wildtype	Methanosarcina acetivorans	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	CoA		0.53	s^(-1)
6.2.1.2	wildtype	Methanosarcina acetivorans	CCC(C)C(=O)[O-]	2-methylbutyrate		0.18	s^(-1)
1.8.3.1	V474M/Y343N/R472M	Homo sapiens	[O-]S(=O)[O-]	sulfite		0.237	s^(-1)
1.8.3.1	Y343N/R472M	Homo sapiens	[O-]S(=O)[O-]	sulfite		0.0244	s^(-1)
1.8.3.1	Y343N	Homo sapiens	[O-]S(=O)[O-]	sulfite		13.5	s^(-1)
1.8.3.1	R472Q/Y343F	Homo sapiens	[O-]S(=O)[O-]	sulfite		2.35	s^(-1)
1.8.3.1	R450M/Y322N	Gallus gallus	[O-]S(=O)[O-]	sulfite		27000.0	s^(-1)
1.8.3.1	wildtype	Gallus gallus	[O-]S(=O)[O-]	sulfite		8690.0	s^(-1)
1.8.3.1	R472D	Homo sapiens	[O-]S(=O)[O-]	sulfite		610.0	s^(-1)
1.8.3.1	V474M	Homo sapiens	[O-]S(=O)[O-]	sulfite		1300.0	s^(-1)
1.8.3.1	wildtype	Homo sapiens	[O-]S(=O)[O-]	sulfite		10000.0	s^(-1)
1.8.3.1	R472M	Homo sapiens	[O-]S(=O)[O-]	sulfite		640.0	s^(-1)
1.8.3.1	C253S/C451S/C260S/C242S	Homo sapiens	[O-]S(=O)[O-]	sulfite		5899.0	s^(-1)
1.8.3.1	R472Q	Homo sapiens	[O-]S(=O)[O-]	sulfite		1200.0	s^(-1)
1.8.3.1	D342K	Homo sapiens	[O-]S(=O)[O-]	sulfite		1900.0	s^(-1)
1.8.3.1	D342K/R472D	Homo sapiens	[O-]S(=O)[O-]	sulfite		2000.0	s^(-1)
1.8.3.1	R472K	Homo sapiens	[O-]S(=O)[O-]	sulfite		5800.0	s^(-1)
1.1.3.10	T169G	Trametes ochracea	O=O	O2		0.4	s^(-1)
1.1.3.10	T169A	Trametes ochracea	O=O	O2		0.4	s^(-1)
1.1.3.10	T169S	Trametes ochracea	O=O	O2		32.0	s^(-1)
1.1.3.10	T169N	Trametes ochracea	O=O	O2		4.8	s^(-1)
1.1.3.10	wildtype	Trametes ochracea	O=O	O2		110.0	s^(-1)
1.1.3.10	T169A	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.005	s^(-1)
1.1.3.10	S455A/Y456A/H2P/F454A	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.094	s^(-1)
1.1.3.10	wildtype	Pseudarthrobacter siccitolerans	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.229	s^(-1)
1.1.3.10	N593C	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		32.0	s^(-1)
1.1.3.10	H167A	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.35	s^(-1)
1.1.3.10	T169G	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.8	s^(-1)
1.1.3.10	wildtype	Aspergillus oryzae	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.52	s^(-1)
1.1.3.10	F454P/H2P	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.54	s^(-1)
1.1.3.10	V546C/T196G	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.99	s^(-1)
1.1.3.10	T169N	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		1.2	s^(-1)
1.1.3.10	F454A	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		1.47	s^(-1)
1.1.3.10	L547R	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		1465.0	s^(-1)
1.1.3.10	Q448H	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		203.0	s^(-1)
1.1.3.10	Y456A/H2P/F454A	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		4.7	s^(-1)
1.1.3.10	wildtype	Trametes sp.	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		5.08	s^(-1)
1.1.3.10	T166A/E539K	Trametes sp.	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		5.8	s^(-1)
1.1.3.10	H450Q/H2P	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		7.0	s^(-1)
1.1.3.10	T169S	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		8.1	s^(-1)
1.1.3.10	F454N/H2P	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		8.2	s^(-1)
1.1.3.10	wildtype	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		632.0	s^(-1)
1.1.3.10	E542K/H450G/V546C	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		8.83	s^(-1)
1.1.3.10	K312E	Trametes sp.	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		10.62	s^(-1)
1.1.3.10	E359K	Trametes sp.	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		10.86	s^(-1)
1.1.3.10	E539K/K312E	Trametes sp.	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		12.67	s^(-1)
1.1.3.10	H450G	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		12.7	s^(-1)
1.1.3.10	H450G/V546C	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		13.5	s^(-1)
1.1.3.10	Y456W/H2P	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		15.0	s^(-1)
1.1.3.10	wildtype	Aspergillus nidulans	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		20.02	s^(-1)
1.1.3.10	wildtype	Lyophyllum shimeji	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		22.1	s^(-1)
1.1.3.10	V546C	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		29.0	s^(-1)
1.1.3.10	wildtype	Irpex lacteus	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		45.6	s^(-1)
1.1.3.10	L545C	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		2608.0	s^(-1)
1.1.3.10	E542K	Trametes ochracea	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		68.9	s^(-1)
